time,mouse_movement,mouse_clicks
0,1471.238748,0
1,1766.137282,4
2,1823.113796,5
3,1310.195857,5.5
4,1294.788856,6.75
5,2723.406429,6.375
6,2450.238679,5.0625
7,1478.077597,4.4375
8,1262.269018,5.125
9,709.5289437,4.4375
10,707.7571601,5.125
11,1644.692797,2.5
12,1428.059432,3.1875
13,1174.45724,2.5
14,2342.187885,3.1875
15,2103.103968,1.5
16,1911.911027,0.75
17,1751.54277,2.3125
18,1472.203547,4.125
19,2523.984337,5
20,3379.49095,4.5
21,5019.410915,4.25
22,2808.738514,4.0625
23,1764.556458,6.9375
24,1524.166316,5.375
25,3607.566062,3.625
26,2404.077651,1.75
27,1368.328077,2.8125
28,1820.247066,2.25
29,2099.111801,4.0625
30,1419.244949,3
31,3977.756345,2.5
32,3516.800088,1.1875
33,1741.527048,0.5625
34,832.9245581,0.1875
35,402.0651821,4.0625
36,106.6289226,10
37,773.7871098,9
38,386.2998049,4.5
39,193.1499025,2.25
40,96.57495123,1
41,48.02453144,0.25
42,0,0
43,0,0
44,144.4320275,2
45,214.0074788,5
46,163.7316615,6.5
47,81.86583073,3.25
48,2041.019261,2.625
49,1644.32182,3.25
50,838.7299269,2.5
51,1263.090733,3.125
52,1562.868284,1.5625
53,932.2006651,0.75
54,1924.925692,0.3125
55,1752.588737,1.125
56,2708.230028,2.5
57,1711.911588,5.25
58,863.1195582,3.625
59,528.5752076,4.8125
60,239.5756619,4.375
61,225.1275024,3.125
62,101.4731132,4.4375
63,205.2736374,4.1875
64,1115.393255,6
65,1660.873135,4.9375
66,982.3420937,5.4375
67,696.1225529,3.625
68,954.2132875,4.75
69,1543.063917,4.25
70,2942.314642,3.0625
71,2672.688092,3.4375
72,2165.388752,5.6875
73,1782.852613,4.75
74,2150.911795,3.3125
75,2110.397605,1.625
76,2325.682785,3.75
77,2138.04072,3.75
78,1823.221416,3.8125
79,927.3153318,2.875
80,1006.094833,2.4375
81,1329.971386,2.125
82,1787.901674,4
83,2752.111798,2.9375
84,2446.351398,2.4375
85,1640.482976,3.1875
86,2056.417541,3.5625
87,3932.654356,1.6875
88,3781.160033,0.8125
89,2455.984919,2.375
90,2290.712735,2.125
91,1984.041062,2
92,1661.688449,3
93,2278.06447,2.5
94,2674.274763,2.1875
95,4323.73565,3.0625
96,2610.054611,4.5
97,2178.075295,4.1875
98,1251.011706,6.0625
99,1259.613067,8
100,742.3405541,6.9375
101,836.8502471,5.375
102,3755.501485,4.625
103,4439.476325,5.1875
104,3457.225189,5.4375
105,2770.206056,3.625
106,3138.807341,5.75
107,2841.986025,4.8125
108,3306.392935,3.3125
109,3870.465051,3.5625
110,4128.299932,4.75
111,3114.231014,3.25
112,2424.080187,2.5625
113,2022.056896,4.25
114,1605.376651,4.0625
115,3078.359105,3.9375
116,3600.254553,3.9375
117,3154.917944,1.9375
118,2196.396657,4.875
119,1409.999174,6.375
120,1334.684161,3.125
121,1775.108212,5.5
122,1360.797198,4.75
123,1684.84287,3.25
124,1150.354276,1.5
125,2863.749085,0.75
126,2217.481699,0.25
127,1554.442746,0.0625
128,3062.959737,0
129,1712.868979,0
130,785.2301193,0
131,2811.909642,0
132,1963.009138,0
133,922.0746228,0
134,463.0580365,0
135,310.5688361,0
136,243.6774528,0
137,885.1256815,0
138,1781.718873,1
139,2087.542539,1.5
140,1302.483113,2.75
141,1479.506554,3.375
142,4210.059939,2.6875
143,3982.667576,3.3125
144,3009.50666,3.625
145,2524.207587,3.75
146,2212.601913,3.8125
147,1034.919462,3.875
148,457.4753897,1.875
149,1051.657667,0.875
150,1412.147137,1.375
151,675.5566203,3.625
152,339.5961718,2.75
153,169.7980859,3.375
154,58.15195688,3.6875
155,44.61764069,2.8125
156,26.72303391,1.3125
157,13.26776695,1.625
158,14.4623106,2.75
159,1031.064471,2.3125
160,1480.354014,1.125
161,2208.833481,0.5625
162,2004.325479,2.25
163,2368.354751,4.0625
164,1222.425225,4
165,928.680249,5
166,1895.787239,5.5
167,1902.129803,2.6875
168,1425.292196,3.25
169,1538.002914,6.5625
170,1401.490588,5.1875
171,1390.034097,5.5
172,1476.035725,3.75
173,2219.800521,3.8125
174,3128.140888,4.75
175,2743.251135,4.3125
176,3233.619065,4.0625
177,2671.674091,6
178,1978.514408,7.9375
179,1041.521164,4.875
180,1005.107295,5.375
181,1474.400346,5.625
182,1441.776644,5.6875
183,2748.952162,2.6875
184,1955.532974,3.3125
185,3640.478729,4.5625
186,2886.439969,4.1875
187,4549.46006,4
188,3894.31042,5
189,4588.115237,3.4375
190,3714.638242,5.625
191,4397.961907,2.75
192,3186.384497,2.3125
193,2524.325466,1.0625
194,1510.453736,4.5
195,1366.571317,4.125
196,2328.346321,4.0625
197,3118.114999,2
198,2144.512049,3
199,1991.632353,3.375
200,2497.663006,2.625
201,3261.898008,3.25
202,5477.78829,1.625
203,4677.158227,3.75
204,3754.560954,2.8125
205,1925.604335,5.375
206,961.9887127,7.625
207,928.4680045,7.8125
208,1621.757646,3.8125
209,1407.492457,5.875
210,3033.364773,2.8125
211,1715.289437,1.25
212,1347.431474,0.5
213,1591.826921,1.25
214,1187.780665,1.5
215,2190.455137,1.75
216,1492.783385,1.875
217,3050.139305,1.9375
218,2580.061085,0.9375
219,4001.975,0.4375
220,1987.645332,0.1875
221,981.2031483,4.0625
222,429.1137702,3
223,181.6546182,5.5
224,587.1349152,9.75
225,292.3540693,6.875
226,146.1770346,3.3125
227,72.74476732,1.625
228,36.34113366,0.6875
229,281.0873374,3.125
230,148.5436687,2.5
231,128.7571157,2.25
232,539.4063208,2.125
233,524.4595676,1.0625
234,253.4458045,0.4375
235,393.070882,1.1875
236,258.9038438,2.5625
237,404.6364982,1.25
238,280.8708779,0.625
239,917.3453497,1.3125
240,1669.698558,3.625
241,952.7465532,4.75
242,470.3098643,4.375
243,281.5224448,2.1875
244,290.3944759,6.0625
245,138.5065431,4.9375
246,152.1632666,6.375
247,90.98788328,8.125
248,309.6523829,4.0625
249,853.5149386,2.875
250,1070.679152,2.375
251,1345.838905,2.0625
252,1758.569868,0.875
253,946.291171,5.4375
254,1627.066025,4.6875
255,1400.877271,4.3125
256,1614.697468,3.125
257,3413.225996,3.5625
258,4352.416798,2.625
259,3149.117993,2.25
260,2558.368331,3.0625
261,1815.53634,3.5
262,1472.359313,3.6875
263,1249.807725,4.8125
264,1954.053216,3.375
265,5483.06437,1.625
266,4216.455786,2.75
267,3323.759807,2.3125
268,1917.740137,4.0625
269,1317.800524,8
270,2087.750099,5
271,2239.625451,5.4375
272,3388.773839,3.6875
273,2503.232802,3.75
274,2129.867557,5.6875
275,1669.584417,5.8125
276,1272.864611,5.8125
277,745.2900911,2.875
278,838.3314927,5.375
279,2052.161011,7.5625
280,1254.712163,4.6875
281,1764.349486,5.25
282,1682.368015,6.625
283,1321.930448,6.1875
284,1007.793658,5.9375
285,2123.993486,5.9375
286,3206.598496,3.875
287,3161.967378,4.8125
288,2163.770213,3.3125
289,1197.523412,3.5625
290,675.3747911,6.6875
291,1338.678647,5.3125
292,1504.145131,4.5625
293,1668.227658,4.25
294,1411.527514,6.0625
295,997.971453,4.875
296,1194.006573,4.375
297,2083.685243,3.125
298,2205.263621,4.5
299,3031.371369,3.125
300,1779.380379,4.5
301,3247.247984,5.1875
302,1789.164138,4.5625
303,976.1976193,4.1875
304,1932.381891,5.0625
305,1180.924838,5.4375
306,805.8678919,4.625
307,401.2819918,6.25
308,196.9258272,6.0625
309,2020.041798,3.9375
310,1469.597609,2.875
311,750.1570647,6.375
312,378.9222824,9.0625
313,1041.576744,5.4375
314,834.7968104,5.6875
315,449.0546701,6.8125
316,621.7744886,4.25
317,635.6739325,1.9375
318,424.8264754,4.9375
319,201.6779994,5.375
320,1053.225625,5.5625
321,1538.489693,2.75
322,935.9908513,6.375
323,814.7011582,6.0625
324,714.3402894,3.9375
325,1182.277407,6.875
326,2414.129513,4.4375
327,2092.158902,5.0625
328,1997.261685,5.4375
329,991.0364376,6.6875
330,647.6155183,5.1875
331,2136.043551,5.5625
332,1218.917752,5.6875
333,821.9603161,4.75
334,634.9298514,6.25
335,852.7260129,5.0625
336,590.8132783,5.4375
337,1662.099852,4.625
338,1460.787895,3.25
339,2534.469591,3.5
340,3166.653617,4.6875
341,4263.630105,3.25
342,2974.165048,3.5625
343,2966.290316,1.75
344,1477.276954,1.8125
345,1344.123939,2.8125
346,1367.901792,2.375
347,2018.627832,2.125
348,1205.619388,3.0625
349,1017.17996,2.5
350,1196.571971,4.1875
351,1525.684683,5.0625
352,3480.584021,3.5
353,2736.215307,3.6875
354,3613.37353,2.8125
355,3434.615581,4.3125
356,2813.43877,5.0625
357,2325.770514,4.5
358,1810.590191,4.1875
359,2500.14179,4.0625
360,2463.815746,3.9375
361,1776.077738,3.875
362,1346.014964,4.875
363,1199.372898,5.375
364,1039.094045,3.625
365,1376.417666,2.75
366,2020.536085,5.3125
367,2548.84413,3.5625
368,2081.302839,1.6875
369,1574.030793,0.8125
370,2766.742566,1.375
371,2430.272967,3.5625
372,3516.125491,3.75
373,2550.919979,2.875
374,3297.231561,2.4375
375,2866.806058,2.1875
376,1774.17347,3
377,1500.633463,1.4375
378,1679.288999,2.6875
379,3220.981827,2.3125
380,4196.143733,4.125
381,3370.479641,5
382,2692.441659,4.5
383,1902.423285,4.1875
384,3749.283616,2.0625
385,3013.948564,2.9375
386,3848.253872,2.375
387,2904.966425,3.125
388,2560.77233,3.5
389,3806.408276,4.75
390,2679.500702,5.3125
391,2195.849914,5.625
392,2382.072869,4.75
393,2173.687004,2.3125
394,1901.351307,3.0625
395,1624.645733,5.4375
396,1291.126908,5.625
397,2814.412902,3.75
398,2351.788611,4.875
399,2380.144507,4.375
400,3268.601129,4.0625
401,3095.81478,2.9375
402,1622.282006,5.4375
403,1129.427726,7.625
404,1599.300452,4.75
405,1600.393472,4.3125
406,1503.62813,3.125
407,2566.838214,4.4375
408,3759.844113,2.0625
409,2435.813593,1
410,2682.229665,1.4375
411,2764.581735,0.6875
412,2580.976816,2.25
413,1720.669841,1.125
414,1518.889565,1.5625
415,853.2233947,0.75
416,422.2958207,0.375
417,177.9121126,0.125
418,73.08385822,0.0625
419,131.5790186,0
420,186.7600184,0
421,1122.128683,1
422,1111.700757,1.5
423,889.8984642,0.75
424,981.4623904,0.375
425,958.5371823,0.1875
426,465.0802542,1.0625
427,215.3268797,0.5
428,124.6386508,4.25
429,1834.974075,4.125
430,1180.75035,5.0625
431,589.8126748,6.5
432,307.9063374,5.25
433,793.5837816,2.5
434,414.4963623,1.1875
435,939.8398744,1.5
436,2301.917933,0.625
437,1748.857277,1.25
438,1308.032534,2.625
439,684.7154104,4.3125
440,319.1927259,2.125
441,221.5946869,2.0625
442,131.5856073,1
443,87.03141957,1.4375
444,42.48445979,0.625
445,53.65644346,1.3125
446,311.2563326,0.625
447,172.2226784,2.3125
448,110.2472857,5.125
449,983.2826427,4.5625
450,789.4024262,3.25
451,1218.9316,2.625
452,1269.17368,3.25
453,1097.04732,3.5
454,726.2750983,4.6875
455,623.4655293,4.3125
456,857.6741904,5.125
457,2895.718944,3.5
458,3242.578415,4.6875
459,2581.867969,3.25
460,3330.367993,3.5625
461,2171.261745,3.6875
462,1903.040409,3.8125
463,1964.724564,4.8125
464,1816.993836,4.375
465,901.8149695,5.125
466,565.6050487,8.5
467,729.1208203,6.1875
468,821.7885478,5
469,523.7833456,2.4375
470,387.6854538,1.125
471,1401.058451,0.375
472,2135.772699,1.125
473,1266.02796,2.5
474,1711.699555,4.25
475,1581.436793,5.125
476,1442.858126,5.5625
477,1150.397125,5.75
478,1532.754653,4.8125
479,2548.507876,6.3125
480,1951.518208,4.0625
481,2548.303204,2.9375
482,2578.895147,3.375
483,1743.852571,4.625
484,2224.378805,4.1875
485,1900.141625,2.0625
486,2138.735801,4
487,1869.090318,4.9375
488,1437.890892,4.375
489,899.3277249,5.125
490,2726.641548,3.5625
491,2636.399673,2.6875
492,3948.407163,4.25
493,3607.925111,3.0625
494,2490.841325,2.4375
495,3050.720547,4.1875
496,2568.188253,3.0625
497,4596.912391,2.4375
498,3486.690459,4.1875
499,2892.866014,4.0625
500,2185.774145,2.9375
501,3120.753442,2.4375
502,3033.172921,3.1875
503,2467.059606,2.5
504,2041.590348,2.1875
505,1484.999161,4.0625
506,1422.564036,5
507,1658.392137,2.4375
508,2183.522207,3.1875
509,5178.123486,2.5625
510,4672.060096,3.1875
511,3116.50957,3.5
512,2879.71937,2.75
513,3477.785517,4.3125
514,3145.418362,5.125
515,4060.656017,5.5
516,2670.345536,3.6875
517,4005.545489,1.8125
518,3543.400509,2.8125
519,2398.776534,4.3125
520,2734.514246,6.0625
521,2632.052306,5
522,1738.608956,6.5
523,1178.716879,5.1875
524,1988.36498,4.5
525,2502.819393,4.125
526,3545.90762,5
527,4691.201865,4.375
528,3205.921631,4.125
529,2137.856631,3
530,1517.756964,4.4375
531,1325.397282,5.125
532,2769.421366,3.5
533,2304.748163,6.6875
534,1482.790204,6.3125
535,1170.639292,7.0625
536,1137.042383,6.4375
537,2416.44816,3.1875
538,2044.455878,1.4375
539,1798.590673,4.625
540,2144.772679,5.1875
541,3381.241012,4.5
542,2414.584262,3.25
543,1715.333873,5.625
544,1770.910051,3.6875
545,1409.282487,3.75
546,1365.185673,3.8125
547,4082.389886,4.875
548,3699.047283,4.3125
549,3747.611481,3.125
550,2519.765564,2.5
551,2008.678236,1.1875
552,1375.670553,3.5
553,1381.95556,5.6875
554,2425.635563,4.8125
555,1553.835655,4.375
556,2975.696348,4.1875
557,3169.99547,4
558,1854.510609,1.875
559,1634.466524,4.875
560,1718.355749,4.375
561,1368.411825,5.125
562,1364.596389,3.5
563,1115.735252,4.75
564,1789.029775,6.25
565,1483.761771,7.0625
566,1095.709976,6.4375
567,632.727883,6.1875
568,540.7257505,6
569,304.2857821,2.875
570,351.8707476,3.3125
571,552.676123,1.5625
572,272.9695485,0.6875
573,129.0412526,0.25
574,62.23493455,0.125
575,24.27269028,0
576,0,0
577,141.5794108,0
578,384.4134945,0
579,1275.603189,1
580,2456.187516,0.5
581,2844.447495,0.25
582,2971.630781,1.125
583,3789.189469,0.5625
584,2664.155584,1.25
585,2160.048698,1.625
586,2002.585687,2.8125
587,952.7356126,4.375
588,404.0810932,6.1875
589,289.8977557,6.0625
590,117.2990195,5
591,28.24099751,2.4375
592,52.53471232,2.125
593,267.7526375,1.9375
594,262.9025433,2.875
595,131.4512716,2.375
596,65.72563582,1.1875
597,350.2052056,2.5625
598,341.7160627,4.25
599,1873.046987,2.0625
600,1954.046476,3
601,982.0232382,1.5
602,481.0571556,0.6875
603,235.0860817,4.25
604,68.22018644,3.125
605,1662.423471,1.5
606,1552.439826,3.75
607,2917.369947,2.875
608,3358.731879,3.3125
609,2442.833711,3.625
610,2373.398059,5.8125
611,1806.353211,4.8125
612,3230.521602,3.375
613,1965.831382,4.625
614,1461.701556,2.25
615,2199.832792,4
616,4271.731502,2.9375
617,4352.84252,3.4375
618,5081.835955,3.625
619,3392.230446,2.8125
620,2466.283654,2.3125
621,1814.14078,1.125
622,2115.593771,4.5
623,3141.140111,3.1875
624,2522.612669,2.5625
625,1896.528485,5.25
626,1453.524743,7.625
627,1432.19369,5.6875
628,902.4863953,4.8125
629,1794.353455,2.375
630,3285.108484,1.0625
631,3692.648086,0.375
632,2050.698223,0.125
633,1179.413059,0
634,561.7781456,0
635,205.6209308,0
636,38.23083964,0
637,535.3771549,0
638,262.6256964,0
639,130.8440982,0
640,1312.735087,0
641,2443.467109,0
642,3390.169065,0
643,3794.144426,0
644,2146.486427,0
645,2197.205649,0
646,1839.322466,0
647,851.3865137,0
648,595.7241001,0
649,298.0678559,0
650,572.2380355,0
651,548.030925,0
652,298.8438896,0
653,169.4728313,0
654,285.3093726,0
655,149.2938734,0
656,94.09850618,0
657,1417.559584,0
658,2277.230412,1
659,4607.961072,0.5
660,2646.026487,2.25
661,3813.878904,4.125
662,3257.508799,5.0625
663,2236.26447,3.5
664,3762.53054,1.75
665,3867.164374,0.8125
666,3655.913633,0.3125
667,2882.940088,3.0625
668,1678.188308,4.5
669,1171.176448,3.25
670,1240.875245,1.625
671,1468.934771,3.8125
672,1166.909368,3.8125
673,1305.101441,2.8125
674,799.4476988,1.375
675,767.0412829,0.6875
676,1494.963865,0.25
677,1354.665945,3.0625
678,1544.264855,3.5
679,1424.504084,3.75
680,1164.218307,1.875
681,735.8537327,3.9375
682,2998.928395,3.875
683,1680.358477,3.875
684,1228.073515,3.875
685,1005.863062,2.9375
686,1027.935098,4.375
687,992.8390077,4.125
688,1157.231466,5
689,1039.833322,4.4375
690,1015.89763,4.1875
691,1789.395724,4
692,1257.939499,3.9375
693,1771.987841,5.875
694,2544.433915,4.875
695,2457.537602,3.375
696,1827.824542,4.625
697,2459.654948,3.25
698,1867.126498,1.5
699,1367.083141,2.6875
700,2065.814008,3.3125
701,2033.71292,2.5625
702,2663.848376,2.25
703,3933.555538,3.125
704,2062.009922,5.5
705,1789.539785,3.6875
706,2120.268197,4.8125
707,3236.61553,5.375
708,1791.49104,5.625
709,1837.320014,5.6875
710,3886.19186,3.8125
711,2531.771213,2.8125
712,1691.548329,3.3125
713,1656.948521,3.5625
714,2019.786276,1.6875
715,1863.091678,2.8125
716,1530.222367,4.375
717,1125.682971,5.125
718,906.7049399,3.5
719,1564.752654,1.75
720,2813.28101,2.8125
721,1738.245867,2.3125
722,1090.404588,3.0625
723,1609.773647,6.5
724,1859.630679,5.25
725,1596.802847,7.5625
726,2306.691581,4.75
727,3343.119294,6.3125
728,3963.849581,4
729,3862.876295,2.9375
730,3326.842007,3.3125
731,3957.633757,4.625
732,3329.19518,4.1875
733,2415.01243,5.0625
734,2031.183773,3.5
735,1980.908275,4.6875
736,1309.995055,3.25
737,1171.94265,4.5625
738,848.2845144,5.1875
739,2719.818006,2.5625
740,1740.039802,3.1875
741,1382.590578,6.5625
742,1078.136566,6.1875
743,1076.773165,6
744,1429.741402,7
745,2782.826188,6.4375
746,2512.204428,5.0625
747,2447.466121,5.4375
748,1839.180321,3.625
749,1370.326448,2.6875
750,1624.556476,1.25
751,1711.084842,0.5625
752,962.4026764,0.1875
753,488.8489323,2.0625
754,263.811806,2
755,158.3462397,2
756,220.6443452,3
757,1909.699849,1.5
758,3028.382934,0.6875
759,3637.631973,0.3125
760,3023.679117,1.125
761,1882.50776,3.5
762,1992.245967,2.75
763,1654.95806,2.375
764,1005.938246,1.1875
765,1697.326651,0.5625
766,2765.394208,0.1875
767,2326.176738,0.0625
768,1142.474002,0
769,580.9996414,0
770,251.997759,0
771,65.73385034,0
772,154.1302038,0
773,771.2562612,0
774,1772.505591,0
775,2524.301165,0
776,1262.150582,0
777,626.3306528,0
778,291.4698995,0
779,516.8266325,0
780,573.718513,0
781,523.7161688,0
782,2682.479524,1
783,2999.356857,2.5
784,1874.01541,4.25
785,1517.354783,2.125
786,1936.697812,2.0625
787,1288.18945,4
788,599.1069928,3.9375
789,793.3321399,1.875
790,799.6441198,1.9375
791,1307.473804,3.9375
792,1085.663955,1.875
793,543.6185891,0.875
794,256.0005005,0.4375
795,114.8292565,0.1875
796,27.89287237,0
797,188.8179551,0
798,94.37772755,0
799,303.9613923,0
800,591.3691415,2
801,703.3680391,4
802,356.7854116,7
803,2346.922321,5.5
804,2527.633698,4.75
805,2335.989984,4.3125
806,1591.245908,3.0625
807,1586.032733,1.375
808,1431.820776,3.625
809,762.8270229,2.75
810,1550.56736,2.3125
811,3402.968821,4.125
812,3397.528279,4.0625
813,3351.668177,3.9375
814,3065.560195,1.9375
815,3034.614736,2.9375
816,3280.509573,3.375
817,3378.86516,3.625
818,1766.302522,6.75
819,1670.910071,7.375
820,1329.472414,4.625
821,2442.6015,5.25
822,2017.266871,5.5625
823,2182.479975,6.625
824,2805.574589,4.1875
825,1537.40225,7.0625
826,2244.529527,6.4375
827,1439.693743,5.125
828,2571.947324,4.4375
829,2782.084933,5.1875
830,1950.768198,6.4375
831,1606.885896,4.125
832,1717.377339,3
833,1313.765143,5.4375
834,945.5403136,3.625
835,1112.314922,5.6875
836,1459.480839,4.8125
837,956.2093284,6.375
838,1259.841698,4.0625
839,1375.237474,6
840,1807.541023,7.875
841,2448.710715,6.875
842,1464.539238,5.3125
843,2385.391279,6.625
844,2443.225602,5.1875
845,2966.20964,6.4375
846,3698.195067,5.125
847,2868.428529,5.5
848,1547.802641,3.625
849,1717.653933,2.75
850,2016.596193,3.25
851,1686.247033,5.5625
852,2973.249695,4.6875
853,3697.421568,6.3125
854,2353.063093,4.125
855,2852.919141,6
856,1858.859505,4.875
857,3278.324497,4.375
858,2550.26578,2.0625
859,2707.917771,2
860,1786.402419,2.875
861,1682.655786,3.375
862,934.8550174,5.625
863,1329.597053,5.8125
864,1046.827,6.875
865,1260.136406,5.375
866,1477.115134,3.625
867,1956.992257,4.6875
868,2752.84749,5.25
869,1671.997009,4.5
870,1096.771854,5.1875
871,825.8185424,6.5625
872,2228.517152,6.1875
873,1344.013952,3
874,2096.366878,3.4375
875,1317.732011,4.625
876,1310.814526,5.1875
877,1346.008726,5.5
878,1276.690341,3.75
879,1004.738205,2.8125
880,1098.155157,4.3125
881,2924.55154,4.0625
882,2974.921452,3.9375
883,3311.991243,2.9375
884,2697.50318,2.4375
885,1920.530789,4.125
886,1724.105862,4
887,2491.900164,2.9375
888,2801.177023,2.4375
889,2461.848411,3.1875
890,1833.113443,3.5
891,2520.192189,4.6875
892,1481.08063,4.3125
893,2615.695005,5.125
894,2351.530275,3.5
895,2601.753235,3.6875
896,1715.7767,5.75
897,1056.459996,5.8125
898,2872.541674,5.8125
899,1847.648164,3.875
900,1462.339321,1.875
901,1895.042774,1.8125
902,2164.571572,0.8125
903,1737.327991,4.3125
904,1631.937211,4.125
905,1139.955611,6.0625
906,1458.787175,6
907,846.8864296,8
908,528.9387242,8.875
909,384.5957057,6.375
910,531.6736613,5.0625
911,1264.908599,5.4375
912,3019.355436,4.5625
913,3921.49407,3.125
914,2453.467454,3.5
915,1695.041318,4.6875
916,2572.304883,4.25
917,2359.174274,4.0625
918,1795.646566,6
919,2416.203733,4.9375
920,1578.101572,5.375
921,2364.642772,4.625
922,1318.252733,6.25
923,852.8117685,5
924,447.5419836,4.4375
925,606.1877798,5.125
926,416.42518,5.5
927,203.8438716,6.625
928,265.2289791,5.25
929,346.4102466,7.5625
930,1728.085597,3.6875
931,2543.182803,2.75
932,1643.245253,4.25
933,1987.078878,6.0625
934,3497.93883,2.875
935,3825.591257,1.4375
936,3459.281223,0.6875
937,1934.397083,0.25
938,1867.898329,0
939,1354.903947,0
940,2828.333497,1
941,2199.892762,2.5
942,1968.261116,2.25
943,2574.096717,1.125
944,1720.57489,0.5625
945,1202.870393,1.25
946,2329.659469,1.5625
947,1675.069835,1.75
948,1247.05295,1.875
949,1613.589893,0.9375
950,810.7523183,0.4375
951,350.5530389,0.1875
952,158.4769495,0.0625
953,65.85973122,0
954,11.5517767,0
955,93.66421356,0
956,721.2766599,0
957,756.4074971,0
958,473.2435664,0
959,1826.978303,0
960,1298.816564,0
961,771.3805169,0
962,714.5372442,0
963,354.2976512,0
964,245.5236799,0
965,110.6340163,0
966,281.6982288,0
967,144.843007,0
968,942.3760869,0
969,1026.297178,0
970,2322.177808,1
971,2548.689084,1.5
972,2490.079283,2.75
973,2022.442262,3.375
974,3665.159836,3.6875
975,2807.462993,2.8125
976,2317.247435,4.375
977,2458.048755,5.125
978,1972.717688,4.5
979,1129.7097,6.1875
980,1035.871745,4.0625
981,786.220428,3.9375
982,1130.378723,2.875
983,542.1632146,2.375
984,1175.875078,3.0625
985,3238.301192,3.5
986,1798.875545,3.6875
987,1939.789832,5.8125
988,969.8636662,3.875
989,477.849735,2.875
